"essround_cntry","weight0","weight1","weight2"
"ESS_7_AT",1.31365814030727,1.31322302446232,1.57638491738464
"ESS_7_BE",1.06450664988446,1.06433639076934,1.12631861852285
"ESS_7_CH",1.00042477926211,1.00022120118019,1.0231370437988
"ESS_7_CZ",1.67148174296744,1.67132167303164,2.51804045344169
"ESS_7_DE",1.60042813372382,1.60027681767848,1.99853973521967
"ESS_7_DK",1.00062138588063,1.00032252086748,1.15300985964862
"ESS_7_EE",0.980497742827251,0.9791064568838,1.0700746506158
"ESS_7_ES",1.10462553159598,1.09763290691587,1.12047633695524
"ESS_7_FI",1.0007576681026,1.00045826213544,1.0869620393694
"ESS_7_FR",1.60715130495967,1.60373491687139,2.88578298622668
"ESS_7_GB",1.68375067058937,1.62120575321299,3.28656640706328
"ESS_7_HU",1.3128535622202,1.30799766695485,1.43998807638557
"ESS_7_IE",2.11034383975788,2.10943875333885,3.1452665511332
"ESS_7_IL",1.98675965082278,1.98626303701575,2.88716595283118
"ESS_7_LT",1.47652097068611,1.47634450119789,2.53411682500042
"ESS_7_NL",1.19366854416689,1.19354926528125,2.16721609583667
"ESS_7_NO",0.987088333973654,0.986784216512166,1.16511897612543
"ESS_7_PL",1.00991961165068,1.00988262829566,1.06871787643966
"ESS_7_PT",1.64723016350603,1.49035701835262,2.91202262903754
"ESS_7_SE",1.00046706004324,1.0002239597688,1.15211677673387
"ESS_7_SI",1.10949785072645,1.10875600237331,1.19597146650568
