"essround_cntry","variable","estim_weight0","estim_weight1","estim_weight2","se_weight0","se_weight1","se_weight2","deff_weight0","deff_weight1","deff_weight2"
"ESS_7_AT","R__y_aesfdrk__z_aesfdrk",1.81013674704664,1.81013674704664,1.80283839166728,0.020638261698145,0.020638261698145,0.0227817155468418,1.32623855042984,1.32579926764402,1.60710458496671
"ESS_7_AT","R__y_atncrse__z_atncrse",0.297394574228366,0.297394574228366,0.343967345990361,0.0112386294544814,0.0112386294544814,0.0138839014104754,1.08506424667979,1.08470484674762,1.53287371380408
"ESS_7_AT","R__y_brncntr__z_brncntr",0.864568387369463,0.864568387369463,0.857101776003286,0.00870344773711377,0.00870344773711377,0.0104044990258236,1.16127890984977,1.160894265749,1.58602171287159
"ESS_7_AT","R__y_chldhhe__z_chldhhe",0.430656212504949,0.430656212504949,0.376434823598502,0.0150768555264087,0.0150768555264087,0.0159270157640119,1.15230593345549,1.15192426142492,1.37924340502808
"ESS_7_AT","R__y_clsprty__z_clsprty",0.543812928549923,0.543812928549923,0.556817952779611,0.0141193691975009,0.0141193691975009,0.0152304766467996,1.40806458657585,1.40759820099688,1.64660542138594
"ESS_7_AT","R__y_crmvct__z_crmvct",0.0807452136666757,0.0807452136666757,0.0838203045081557,0.00610094621764277,0.00610094621764277,0.00715365966307198,0.897390675727771,0.897093437892338,1.19034801682916
"ESS_7_AT","R__y_crpdwk__z_crpdwk",0.0322642562471577,0.0322642562471577,0.0329691909764448,0.00596533677945451,0.00596533677945451,0.00642401606282958,0.915305164421721,0.915001992867579,1.00957926043509
"ESS_7_AT","R__y_ctzcntr__z_ctzcntr",0.920984832694381,0.920984832694381,0.912131499998211,0.00689884368693642,0.00689884368693642,0.00900367693147732,1.17398610405031,1.17359725101469,1.81499380457436
"ESS_7_AT","R__y_dscrage__z_dscrage",0.00312797218829162,0.00312797218829162,0.00246737633511126,0.00142236738932834,0.00142236738932834,0.00113091544775922,1.16464768874279,1.1642619288197,0.932446185839149
"ESS_7_AT","R__y_dscrdk__z_dscrdk",0,0,0,0,0,0,,,
"ESS_7_AT","R__y_dscrdsb__z_dscrdsb",0.00300915479045037,0.00300915479045036,0.0030223804192078,0.00150355867485784,0.00150355867485783,0.00167454981665456,1.35262793136562,1.3521799077686,1.66988904210266
"ESS_7_AT","R__y_dscretn__z_dscretn",0.00508957122698404,0.00508957122698404,0.00611957163401028,0.00183391389518306,0.00183391389518306,0.00206812460821811,1.1922463213051,1.19185142003698,1.26189799449385
"ESS_7_AT","R__y_dscrgnd__z_dscrgnd",0.0036215620599856,0.00362156205998561,0.00414890088274088,0.00191882088778158,0.00191882088778159,0.00221617421759871,1.83156320888162,1.83095655015606,2.13307603552223
"ESS_7_AT","R__y_dscrgrp__z_dscrgrp",0.0504918378586959,0.0504918378586959,0.0557931731701501,0.006134605560078,0.006134605560078,0.0071778726298388,1.3954585361899,1.39499632604447,1.73778459783777
"ESS_7_AT","R__y_dscrlng__z_dscrlng",0.0125143259765342,0.0125143259765342,0.0115082291584304,0.00283471882092664,0.00283471882092663,0.00283288677313585,1.16722611542753,1.16683950146619,1.26591014698495
"ESS_7_AT","R__y_dscrna__z_dscrna",0,0,0,0,0,0,,,
"ESS_7_AT","R__y_dscrnap__z_dscrnap",0.949995231577696,0.949995231577696,0.944753126992634,0.00607817253167271,0.00607817253167271,0.00711043138950218,1.3960034452179,1.39554105458521,1.73816846934209
"ESS_7_AT","R__y_dscrntn__z_dscrntn",0.0170311329656608,0.0170311329656608,0.0167432613938259,0.00389545344891976,0.00389545344891976,0.00396814963843451,1.62706919938212,1.62653027409573,1.71630749928734
"ESS_7_AT","R__y_dscroth__z_dscroth",0.0105876811797116,0.0105876811797116,0.0110711533489714,0.00236282375379452,0.00236282375379452,0.00274368829637858,0.956660354889156,0.956343485480076,1.23377974716944
"ESS_7_AT","R__y_dscrrce__z_dscrrce",0.00359183192569482,0.00359183192569481,0.00377380834523443,0.00156636895086787,0.00156636895086787,0.00173297619416057,1.23057513353252,1.23016753682026,1.43341981847171
"ESS_7_AT","R__y_dscrref__z_dscrref",0,0,0,0,0,0,,,
"ESS_7_AT","R__y_dscrrlg__z_dscrrlg",0.0197416982413054,0.0197416982413054,0.0204564287140846,0.00465996933290841,0.00465996933290841,0.00536244583343609,2.01425461639858,2.01358744579119,2.57512472220662
"ESS_7_AT","R__y_dscrsex__z_dscrsex",0.00666404472965729,0.00666404472965729,0.00915016524260081,0.00213205112462649,0.0021320511246265,0.00311588169974602,1.23263489606292,1.23222661710673,1.92154761149247
"ESS_7_AT","R__y_eduyrs__z_eduyrs",12.5623494069047,12.5623494069047,13.0932557566678,0.0938284206669364,0.0938284206669364,0.129145113441702,1.38216747668879,1.38170966886875,2.01477799488313
"ESS_7_AT","R__y_emplno__z_emplno",3.14128553069623,3.14128553069623,2.86568416390723,0.937845995225968,0.937845995225967,0.717774081888189,1.06827020423702,1.06791636690423,0.878833450933684
"ESS_7_AT","R__y_emplrel__z_emplrel",0.884608096419391,0.884608096419392,0.878592119144199,0.00825572070071918,0.00825572070071918,0.00946221427956888,1.10821150408909,1.10784443721667,1.38130936556626
"ESS_7_AT","R__y_euftf__z_euftf",3.63246630388509,3.63246630388509,3.93352950149621,0.0763301353442262,0.0763301353442262,0.0882654550788197,1.34935099868047,1.34890406048406,1.71115479071691
"ESS_7_AT","R__y_facntr__z_facntr",0.800907186368824,0.800907186368824,0.792956236420738,0.0107053146087833,0.0107053146087833,0.0123485680863633,1.28731983916897,1.28689344721633,1.66356032108843
