unit.id,size,sim.count,prob_main_sim,prob_total_sim,prob_main_true,prob_total_true,diff_main,diff_total
1,1,1000000,0.01902,0.022384,0.0190476190476191,0.0222222222222222,2.76190476190506e-05,0.000161777777777778
2,1,1000000,0.01941,0.022785,0.0190476190476191,0.0222222222222222,0.000362380952380951,0.000562777777777777
3,1,1000000,0.018975,0.022363,0.0190476190476191,0.0222222222222222,7.26190476190505e-05,0.000140777777777778
4,1,1000000,0.018872,0.022228,0.0190476190476191,0.0222222222222222,0.000175619047619049,5.77777777777816e-06
5,1,1000000,0.019107,0.022417,0.0190476190476191,0.0222222222222222,5.93809523809497e-05,0.000194777777777776
6,1,1000000,0.019251,0.022586,0.0190476190476191,0.0222222222222222,0.000203380952380951,0.000363777777777775
7,1,1000000,0.019122,0.02256,0.0190476190476191,0.0222222222222222,7.43809523809508e-05,0.000337777777777777
8,1,1000000,0.018726,0.022124,0.0190476190476191,0.0222222222222222,0.00032161904761905,9.82222222222218e-05
9,1,1000000,0.019062,0.022453,0.0190476190476191,0.0222222222222222,1.43809523809497e-05,0.000230777777777778
10,1,1000000,0.01908,0.022455,0.0190476190476191,0.0222222222222222,3.23809523809504e-05,0.000232777777777776
11,1,1000000,0.019013,0.022458,0.0190476190476191,0.0222222222222222,3.46190476190507e-05,0.000235777777777776
12,1,1000000,0.019044,0.022472,0.0190476190476191,0.0222222222222222,3.61904761905091e-06,0.000249777777777776
13,1,1000000,0.018885,0.022272,0.0190476190476191,0.0222222222222222,0.00016261904761905,4.97777777777771e-05
14,1,1000000,0.019244,0.02258,0.0190476190476191,0.0222222222222222,0.000196380952380951,0.000357777777777776
15,1,1000000,0.018992,0.022477,0.0190476190476191,0.0222222222222222,5.56190476190509e-05,0.000254777777777777
16,1,1000000,0.019057,0.022384,0.0190476190476191,0.0222222222222222,9.38095238095169e-06,0.000161777777777778
17,1,1000000,0.018955,0.02235,0.0190476190476191,0.0222222222222222,9.26190476190497e-05,0.000127777777777775
18,1,1000000,0.018899,0.022333,0.0190476190476191,0.0222222222222222,0.00014861904761905,0.000110777777777776
19,1,1000000,0.019019,0.022459,0.0190476190476191,0.0222222222222222,2.86190476190482e-05,0.000236777777777777
20,1,1000000,0.019123,0.022433,0.0190476190476191,0.0222222222222222,7.53809523809518e-05,0.000210777777777778
21,1,1000000,0.019108,0.022532,0.0190476190476191,0.0222222222222222,6.03809523809507e-05,0.000309777777777777
22,1,1000000,0.018754,0.022189,0.0190476190476191,0.0222222222222222,0.00029361904761905,3.32222222222227e-05
23,2,1000000,0.038355,0.044946,0.0380952380952381,0.0444444444444444,0.000259761904761902,0.000501555555555554
24,2,1000000,0.03803,0.044735,0.0380952380952381,0.0444444444444444,6.52380952380974e-05,0.000290555555555551
25,2,1000000,0.038341,0.044934,0.0380952380952381,0.0444444444444444,0.000245761904761901,0.000489555555555556
26,2,1000000,0.037848,0.044265,0.0380952380952381,0.0444444444444444,0.000247238095238099,0.000179444444444447
27,2,1000000,0.037968,0.044618,0.0380952380952381,0.0444444444444444,0.000127238095238097,0.000173555555555552
28,2,1000000,0.038303,0.044965,0.0380952380952381,0.0444444444444444,0.000207761904761898,0.000520555555555552
29,2,1000000,0.038163,0.044724,0.0380952380952381,0.0444444444444444,6.77619047619038e-05,0.000279555555555554
30,2,1000000,0.038046,0.044697,0.0380952380952381,0.0444444444444444,4.92380952380953e-05,0.000252555555555555
31,2,1000000,0.038016,0.044597,0.0380952380952381,0.0444444444444444,7.92380952380975e-05,0.000152555555555552
32,2,1000000,0.038064,0.044664,0.0380952380952381,0.0444444444444444,3.12380952380981e-05,0.000219555555555556
33,2,1000000,0.038084,0.044831,0.0380952380952381,0.0444444444444444,1.12380952380989e-05,0.000386555555555557
34,2,1000000,0.038083,0.044728,0.0380952380952381,0.0444444444444444,1.22380952380999e-05,0.000283555555555551
35,2,1000000,0.038348,0.044976,0.0380952380952381,0.0444444444444444,0.000252761904761901,0.000531555555555556
36,2,1000000,0.037819,0.044464,0.0380952380952381,0.0444444444444444,0.0002762380952381,1.95555555555504e-05
37,2,1000000,0.038313,0.044924,0.0380952380952381,0.0444444444444444,0.000217761904761901,0.000479555555555553
38,2,1000000,0.038215,0.044954,0.0380952380952381,0.0444444444444444,0.0001197619047619,0.000509555555555555
39,2,1000000,0.038185,0.044787,0.0380952380952381,0.0444444444444444,8.97619047618981e-05,0.000342555555555554
40,2,1000000,0.038063,0.044741,0.0380952380952381,0.0444444444444444,3.22380952380991e-05,0.000296555555555557
41,2,1000000,0.038118,0.044845,0.0380952380952381,0.0444444444444444,2.27619047619004e-05,0.000400555555555557
42,2,1000000,0.038091,0.044769,0.0380952380952381,0.0444444444444444,4.23809523809882e-06,0.000324555555555557
43,2,1000000,0.03787,0.044446,0.0380952380952381,0.0444444444444444,0.000225238095238098,1.55555555555326e-06
44,3,1000000,0.057304,0.067109,0.0571428571428571,0.0666666666666667,0.00016114285714286,0.000442333333333336
45,3,1000000,0.056924,0.066692,0.0571428571428571,0.0666666666666667,0.000218857142857139,2.53333333333355e-05
46,3,1000000,0.057072,0.066987,0.0571428571428571,0.0666666666666667,7.08571428571433e-05,0.000320333333333339
47,3,1000000,0.057263,0.06698,0.0571428571428571,0.0666666666666667,0.00012014285714286,0.000313333333333332
48,3,1000000,0.056969,0.066865,0.0571428571428571,0.0666666666666667,0.000173857142857142,0.000198333333333328
49,3,1000000,0.057268,0.067041,0.0571428571428571,0.0666666666666667,0.000125142857142858,0.000374333333333338
50,3,1000000,0.057084,0.066897,0.0571428571428571,0.0666666666666667,5.88571428571383e-05,0.000230333333333332
51,3,1000000,0.057267,0.067152,0.0571428571428571,0.0666666666666667,0.000124142857142857,0.000485333333333338
52,3,1000000,0.057091,0.066726,0.0571428571428571,0.0666666666666667,5.18571428571382e-05,5.93333333333279e-05
53,3,1000000,0.057027,0.066753,0.0571428571428571,0.0666666666666667,0.00011585714285714,8.6333333333341e-05
54,3,1000000,0.057219,0.066868,0.0571428571428571,0.0666666666666667,7.6142857142858e-05,0.000201333333333331
55,3,1000000,0.057301,0.067147,0.0571428571428571,0.0666666666666667,0.000158142857142857,0.000480333333333333
56,3,1000000,0.056924,0.066715,0.0571428571428571,0.0666666666666667,0.000218857142857139,4.83333333333308e-05
57,3,1000000,0.057266,0.067098,0.0571428571428571,0.0666666666666667,0.000123142857142856,0.000431333333333339
58,3,1000000,0.057257,0.067157,0.0571428571428571,0.0666666666666667,0.000114142857142861,0.000490333333333329
59,3,1000000,0.05748,0.067235,0.0571428571428571,0.0666666666666667,0.000337142857142862,0.000568333333333337
60,4,1000000,0.075881,0.088792,0.0761904761904762,0.0888888888888889,0.000309476190476193,9.68888888888964e-05
61,4,1000000,0.076165,0.088816,0.0761904761904762,0.0888888888888889,2.54761904762008e-05,7.28888888888862e-05
62,4,1000000,0.07593,0.088616,0.0761904761904762,0.0888888888888889,0.0002604761904762,0.000272888888888892
63,4,1000000,0.076247,0.089019,0.0761904761904762,0.0888888888888889,5.6523809523798e-05,0.000130111111111109
64,4,1000000,0.076266,0.088913,0.0761904761904762,0.0888888888888889,7.55238095238031e-05,2.41111111111136e-05
65,4,1000000,0.076078,0.088816,0.0761904761904762,0.0888888888888889,0.000112476190476191,7.28888888888862e-05
66,4,1000000,0.07626,0.089089,0.0761904761904762,0.0888888888888889,6.95238095237971e-05,0.000200111111111109
67,4,1000000,0.076134,0.088754,0.0761904761904762,0.0888888888888889,5.6476190476204e-05,0.000134888888888893
68,4,1000000,0.076212,0.089042,0.0761904761904762,0.0888888888888889,2.15238095238046e-05,0.000153111111111104
69,4,1000000,0.076295,0.08893,0.0761904761904762,0.0888888888888889,0.000104523809523804,4.11111111111029e-05
70,4,1000000,0.076034,0.089025,0.0761904761904762,0.0888888888888889,0.000156476190476193,0.000136111111111115
71,4,1000000,0.076686,0.089346,0.0761904761904762,0.0888888888888889,0.000495523809523807,0.000457111111111103
72,4,1000000,0.076213,0.088946,0.0761904761904762,0.0888888888888889,2.25238095238056e-05,5.7111111111105e-05
73,4,1000000,0.076053,0.088776,0.0761904761904762,0.0888888888888889,0.000137476190476202,0.000112888888888898
74,4,1000000,0.076134,0.089057,0.0761904761904762,0.0888888888888889,5.6476190476204e-05,0.000168111111111105
75,4,1000000,0.07595,0.088715,0.0761904761904762,0.0888888888888889,0.000240476190476194,0.00017388888888889
76,4,1000000,0.075938,0.088771,0.0761904761904762,0.0888888888888889,0.000252476190476192,0.00011788888888889
77,4,1000000,0.07634,0.088992,0.0761904761904762,0.0888888888888889,0.000149523809523808,0.000103111111111109
78,4,1000000,0.076223,0.088996,0.0761904761904762,0.0888888888888889,3.25238095238017e-05,0.000107111111111113
79,4,1000000,0.076302,0.089007,0.0761904761904762,0.0888888888888889,0.000111523809523797,0.000118111111111111
80,4,1000000,0.076185,0.088956,0.0761904761904762,0.0888888888888889,5.47619047619463e-06,6.71111111111011e-05
81,4,1000000,0.076048,0.088687,0.0761904761904762,0.0888888888888889,0.000142476190476193,0.00020188888888889
82,5,1000000,0.095499,0.111063,0.0952380952380952,0.111111111111111,0.000260904761904768,4.81111111111099e-05
83,5,1000000,0.09517,0.111208,0.0952380952380952,0.111111111111111,6.80952380952282e-05,9.68888888888964e-05
84,5,1000000,0.095384,0.110844,0.0952380952380952,0.111111111111111,0.000145904761904764,0.000267111111111107
85,5,1000000,0.095241,0.111,0.0952380952380952,0.111111111111111,2.9047619047734e-06,0.000111111111111104
86,5,1000000,0.095178,0.110676,0.0952380952380952,0.111111111111111,6.00952380952341e-05,0.000435111111111108
87,5,1000000,0.095053,0.110641,0.0952380952380952,0.111111111111111,0.000185095238095234,0.000470111111111102
88,5,1000000,0.095009,0.110659,0.0952380952380952,0.111111111111111,0.000229095238095237,0.000452111111111111
89,6,1000000,0.114459,0.132773,0.114285714285714,0.133333333333333,0.000173285714285723,0.000560333333333329
90,6,1000000,0.114394,0.132668,0.114285714285714,0.133333333333333,0.000108285714285714,0.000665333333333323
91,6,1000000,0.114212,0.132383,0.114285714285714,0.133333333333333,7.37142857142881e-05,0.000950333333333331
92,6,1000000,0.114468,0.132583,0.114285714285714,0.133333333333333,0.000182285714285718,0.000750333333333325
93,6,1000000,0.114547,0.132933,0.114285714285714,0.133333333333333,0.000261285714285714,0.000400333333333336
94,6,1000000,0.114138,0.13276,0.114285714285714,0.133333333333333,0.000147714285714279,0.000573333333333342
95,6,1000000,0.114262,0.132489,0.114285714285714,0.133333333333333,2.37142857142797e-05,0.000844333333333336
96,7,1000000,0.133016,0.153797,0.133333333333333,0.155555555555556,0.000317333333333336,0.00175855555555557
97,7,1000000,0.133506,0.154593,0.133333333333333,0.155555555555556,0.000172666666666682,0.00096255555555555
98,7,1000000,0.133325,0.154035,0.133333333333333,0.155555555555556,8.33333333333242e-06,0.00152055555555555
99,8,1000000,0.152224,0.175527,0.152380952380952,0.177777777777778,0.000156952380952397,0.0022507777777778
100,9,1000000,0.171584,0.196981,0.171428571428571,0.2,0.000155428571428556,0.00301900000000002
