country,1,2,3,4,5,6,7,8
Albania,0,0,0,0,0,1,0,0
Bulgaria,0,0,1,1,1,1,0,0
Cyprus,0,0,1,1,1,1,0,0
Finland,1,1,1,1,1,1,1,1
Latvia,0,0,1,1,0,0,0,0
Lithuania,0,0,0,1,1,1,1,1
Norway,1,1,1,1,1,1,1,1
Spain,1,1,1,1,1,1,1,1
